2009-07-09|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -2.0 |CHG/ATR nan |B/CHG -0.20 |B/ATR nan |V/LONG nan |V/SHORT 0.6 |V/PREV 0.1 |O 2.4 |H 2.4 |L 2.4 |C 2.4 |V 1 Thousand
2009-07-10|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV 0.0 |O 2.4 |H 2.4 |L 2.4 |C 2.4 |V 0
2009-07-13|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 14.6 |CHG/ATR nan |B/CHG 0.03 |B/ATR nan |V/LONG nan |V/SHORT 0.4 |V/PREV inf |O 2.8 |H 2.8 |L 2.8 |C 2.8 |V 1 Thousand
2009-07-14|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV 0.0 |O 2.8 |H 2.8 |L 2.8 |C 2.8 |V 0
2009-07-15|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 2.8 |H 2.8 |L 2.8 |C 2.8 |V 0
2009-07-16|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 2.8 |H 2.8 |L 2.8 |C 2.8 |V 0
2009-07-17|NIU|H/Body 1.60 |T/Body 0.00 |CHG_PCT 1.8 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG nan |V/SHORT 26.0 |V/PREV inf |O 2.8 |H 2.9 |L 2.8 |C 2.8 |V 5 Thousand
2009-07-20|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV 0.0 |O 2.8 |H 2.8 |L 2.8 |C 2.8 |V 0
2009-07-21|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 2.8 |H 2.8 |L 2.8 |C 2.8 |V 0
2009-07-22|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 2.8 |H 2.8 |L 2.8 |C 2.8 |V 0
2009-07-23|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 1.9 |V/PREV inf |O 2.8 |H 2.8 |L 2.8 |C 2.8 |V 2 Thousand
2009-07-24|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.6 |V/PREV 0.4 |O 2.8 |H 2.8 |L 2.8 |C 2.8 |V 800
2009-07-27|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.3 |V/SHORT 20.2 |V/PREV 14.1 |O 2.4 |H 2.8 |L 2.4 |C 2.8 |V 11 Thousand
2009-07-28|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV 0.0 |O 2.8 |H 2.8 |L 2.8 |C 2.8 |V 0
2009-07-29|NIU|H/Body 2.00 |T/Body 0.00 |CHG_PCT -14.3 |CHG/ATR nan |B/CHG -0.12 |B/ATR nan |V/LONG 0.2 |V/SHORT 2.3 |V/PREV inf |O 2.4 |H 2.5 |L 2.4 |C 2.4 |V 7 Thousand
2009-07-30|RED|H/Body 0.00 |T/Body 6.00 |CHG_PCT 16.7 |CHG/ATR nan |B/CHG 0.13 |B/ATR nan |V/LONG 2.0 |V/SHORT 17.7 |V/PREV 11.1 |O 2.9 |H 2.9 |L 2.5 |C 2.8 |V 73 Thousand
2009-07-31|NIU|H/Body 2.27 |T/Body 2.36 |CHG_PCT 7.1 |CHG/ATR nan |B/CHG 0.55 |B/ATR nan |V/LONG 0.7 |V/SHORT 1.5 |V/PREV 0.4 |O 2.9 |H 3.2 |L 2.6 |C 3.0 |V 28 Thousand
2009-08-03|RED|H/Body 0.00 |T/Body 0.13 |CHG_PCT 3.3 |CHG/ATR nan |B/CHG 4.00 |B/ATR nan |V/LONG 0.1 |V/SHORT 0.2 |V/PREV 0.2 |O 3.5 |H 3.5 |L 3.0 |C 3.1 |V 5 Thousand
2009-08-04|RED|H/Body 5.00 |T/Body 0.00 |CHG_PCT 11.3 |CHG/ATR nan |B/CHG 0.03 |B/ATR nan |V/LONG 0.1 |V/SHORT 0.2 |V/PREV 1.0 |O 3.5 |H 3.5 |L 3.5 |C 3.5 |V 5 Thousand
2009-08-05|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT 20.3 |CHG/ATR nan |B/CHG 0.86 |B/ATR nan |V/LONG 0.8 |V/SHORT 1.1 |V/PREV 5.4 |O 3.5 |H 4.2 |L 3.5 |C 4.2 |V 27 Thousand
2009-08-06|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -3.6 |CHG/ATR nan |B/CHG -0.07 |B/ATR nan |V/LONG 0.6 |V/SHORT 0.8 |V/PREV 0.8 |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 23 Thousand
2009-08-07|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -2.5 |CHG/ATR nan |B/CHG -0.10 |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV 0.0 |O 3.9 |H 3.9 |L 3.9 |C 3.9 |V 100
2009-08-10|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.4 |V/SHORT 1.1 |V/PREV 135.0 |O 4.0 |H 4.0 |L 3.9 |C 3.9 |V 14 Thousand
2009-08-11|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.1 |V/PREV 0.1 |O 3.8 |H 3.9 |L 3.8 |C 3.9 |V 1 Thousand
2009-08-12|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV 0.0 |O 3.9 |H 3.9 |L 3.9 |C 3.9 |V 0
