2013-02-25 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.3
2013-02-26 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.3
2013-02-27 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.4
2013-02-28 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.4
2013-03-01 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.4
2013-03-04 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.5
2013-03-05 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.5
2013-03-06 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.6
2013-03-07 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.6
2013-03-08 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.7
2013-03-11 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.7
2013-03-12 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.8
2013-03-13 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.8
2013-03-14 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.9
2013-03-15 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.9
2013-03-18 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.0
2013-03-19 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.1
2013-03-20 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.1
2013-03-21 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.2
2013-03-22 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.2
2013-03-25 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.3
2013-03-26 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.4
2013-03-27 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.4
2013-03-28 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.5
2013-04-01 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.6
2013-04-02 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.6
2013-04-03 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.7
2013-04-04 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.8
2013-04-05 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.9
2013-04-08 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.9
2013-04-09 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.0
