2013-08-02|NIU|H/Body 0.19 |T/Body 0.12 |CHG_PCT 2.6 |CHG/ATR nan |B/CHG 1.14 |B/ATR nan |V/LONG nan |V/SHORT 0.8 |V/PREV 1.2 |O 19.5 |H 20.1 |L 19.4 |C 20.0 |V 53 Thousand
2013-08-05|NIU|H/Body 0.24 |T/Body 0.05 |CHG_PCT 2.1 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG 0.2 |V/SHORT 1.0 |V/PREV 1.0 |O 20.0 |H 20.6 |L 20.0 |C 20.4 |V 54 Thousand
2013-08-06|RED|H/Body 0.22 |T/Body 0.95 |CHG_PCT -3.0 |CHG/ATR nan |B/CHG -1.05 |B/ATR nan |V/LONG 0.3 |V/SHORT 1.5 |V/PREV 1.5 |O 20.5 |H 20.6 |L 19.2 |C 19.8 |V 83 Thousand
2013-08-07|NIU|H/Body 0.00 |T/Body 1.66 |CHG_PCT 0.2 |CHG/ATR nan |B/CHG 5.33 |B/ATR nan |V/LONG 0.3 |V/SHORT 1.1 |V/PREV 0.8 |O 19.7 |H 19.9 |L 19.4 |C 19.9 |V 67 Thousand
2013-08-08|NIU|H/Body 0.17 |T/Body 0.23 |CHG_PCT 19.7 |CHG/ATR nan |B/CHG 0.51 |B/ATR nan |V/LONG 2.0 |V/SHORT 7.7 |V/PREV 6.9 |O 21.8 |H 24.1 |L 21.4 |C 23.8 |V 463 Thousand
2013-08-09|NIU|H/Body 0.43 |T/Body 0.02 |CHG_PCT 5.1 |CHG/ATR nan |B/CHG 0.75 |B/ATR nan |V/LONG 1.7 |V/SHORT 2.8 |V/PREV 0.9 |O 24.1 |H 25.4 |L 24.1 |C 25.0 |V 409 Thousand
2013-08-12|NIU|H/Body 0.01 |T/Body 0.00 |CHG_PCT 12.2 |CHG/ATR nan |B/CHG 1.09 |B/ATR nan |V/LONG 1.8 |V/SHORT 2.1 |V/PREV 1.1 |O 24.7 |H 28.1 |L 24.7 |C 28.0 |V 452 Thousand
2013-08-13|NIU|H/Body 0.28 |T/Body 0.06 |CHG_PCT 7.5 |CHG/ATR nan |B/CHG 0.51 |B/ATR nan |V/LONG 3.2 |V/SHORT 2.8 |V/PREV 1.8 |O 29.1 |H 30.4 |L 29.0 |C 30.1 |V 827 Thousand
2013-08-14|RED|H/Body 0.00 |T/Body 0.26 |CHG_PCT -4.6 |CHG/ATR nan |B/CHG -1.07 |B/ATR nan |V/LONG 1.6 |V/SHORT 1.0 |V/PREV 0.6 |O 30.2 |H 30.2 |L 28.4 |C 28.8 |V 457 Thousand
2013-08-15|RED|H/Body 0.01 |T/Body 0.43 |CHG_PCT -3.8 |CHG/ATR nan |B/CHG -0.75 |B/ATR nan |V/LONG 0.8 |V/SHORT 0.5 |V/PREV 0.5 |O 28.5 |H 28.5 |L 27.3 |C 27.7 |V 242 Thousand
2013-08-16|NIU|H/Body 0.03 |T/Body 0.00 |CHG_PCT 9.1 |CHG/ATR nan |B/CHG 0.92 |B/ATR nan |V/LONG 0.8 |V/SHORT 0.5 |V/PREV 1.0 |O 27.9 |H 30.3 |L 27.9 |C 30.2 |V 232 Thousand
2013-08-19|RED|H/Body 1.71 |T/Body 0.34 |CHG_PCT -2.4 |CHG/ATR nan |B/CHG -1.03 |B/ATR nan |V/LONG 1.0 |V/SHORT 0.6 |V/PREV 1.2 |O 30.2 |H 31.4 |L 29.2 |C 29.5 |V 277 Thousand
2013-08-20|NIU|H/Body 1.42 |T/Body 3.88 |CHG_PCT 1.5 |CHG/ATR nan |B/CHG 0.77 |B/ATR nan |V/LONG 0.7 |V/SHORT 0.5 |V/PREV 0.7 |O 29.6 |H 30.4 |L 28.2 |C 29.9 |V 197 Thousand
