2002-12-26|RED|H/Body 0.00 |T/Body 0.28 |CHG_PCT -1.1 |CHG/ATR nan |B/CHG -1.32 |B/ATR nan |V/LONG nan |V/SHORT 1.0 |V/PREV 3.4 |O 19.5 |H 19.5 |L 19.2 |C 19.2 |V 30 Thousand
2002-12-27|RED|H/Body 0.00 |T/Body 0.32 |CHG_PCT -1.4 |CHG/ATR nan |B/CHG -1.58 |B/ATR nan |V/LONG nan |V/SHORT 1.5 |V/PREV 1.4 |O 19.4 |H 19.4 |L 18.9 |C 19.0 |V 43 Thousand
2002-12-30|RED|H/Body 0.30 |T/Body 1.93 |CHG_PCT -0.5 |CHG/ATR nan |B/CHG -4.30 |B/ATR nan |V/LONG nan |V/SHORT 1.9 |V/PREV 1.5 |O 19.3 |H 19.4 |L 18.1 |C 18.9 |V 63 Thousand
2002-12-31|NIU|H/Body 3.00 |T/Body 1.50 |CHG_PCT -3.4 |CHG/ATR nan |B/CHG -0.16 |B/ATR nan |V/LONG nan |V/SHORT 2.5 |V/PREV 1.6 |O 18.1 |H 18.6 |L 18.0 |C 18.2 |V 98 Thousand
2003-01-02|NIU|H/Body 0.66 |T/Body 0.04 |CHG_PCT 2.7 |CHG/ATR nan |B/CHG 0.94 |B/ATR nan |V/LONG nan |V/SHORT 0.6 |V/PREV 0.3 |O 18.3 |H 19.1 |L 18.3 |C 18.8 |V 31 Thousand
2003-01-03|RED|H/Body 0.00 |T/Body 1.27 |CHG_PCT 0.8 |CHG/ATR nan |B/CHG 1.47 |B/ATR nan |V/LONG nan |V/SHORT 0.2 |V/PREV 0.3 |O 19.1 |H 19.1 |L 18.6 |C 18.9 |V 10 Thousand
2003-01-06|NIU|H/Body 0.48 |T/Body 0.09 |CHG_PCT 9.2 |CHG/ATR nan |B/CHG 0.91 |B/ATR nan |V/LONG nan |V/SHORT 2.3 |V/PREV 11.5 |O 19.1 |H 21.4 |L 18.9 |C 20.6 |V 112 Thousand
2003-01-07|NIU|H/Body 0.00 |T/Body 7.67 |CHG_PCT 2.1 |CHG/ATR nan |B/CHG 0.20 |B/ATR nan |V/LONG nan |V/SHORT 1.2 |V/PREV 0.6 |O 21.0 |H 21.1 |L 20.3 |C 21.1 |V 73 Thousand
2003-01-08|RED|H/Body 0.94 |T/Body 0.14 |CHG_PCT -4.2 |CHG/ATR nan |B/CHG -0.99 |B/ATR nan |V/LONG nan |V/SHORT 1.4 |V/PREV 1.3 |O 21.1 |H 21.9 |L 20.1 |C 20.2 |V 92 Thousand
2003-01-09|RED|H/Body 4.29 |T/Body 7.57 |CHG_PCT 2.6 |CHG/ATR nan |B/CHG 0.13 |B/ATR nan |V/LONG nan |V/SHORT 0.6 |V/PREV 0.4 |O 20.8 |H 21.1 |L 20.2 |C 20.7 |V 40 Thousand
2003-01-10|NIU|H/Body 7.00 |T/Body 3.67 |CHG_PCT 0.1 |CHG/ATR nan |B/CHG 3.00 |B/ATR nan |V/LONG nan |V/SHORT 1.0 |V/PREV 1.6 |O 20.7 |H 21.2 |L 20.5 |C 20.8 |V 63 Thousand
2003-01-13|NIU|H/Body 0.43 |T/Body 7.71 |CHG_PCT 1.1 |CHG/ATR nan |B/CHG 0.32 |B/ATR nan |V/LONG nan |V/SHORT 0.3 |V/PREV 0.4 |O 20.9 |H 21.0 |L 20.4 |C 21.0 |V 24 Thousand
2003-01-14|NIU|H/Body 2.61 |T/Body 0.01 |CHG_PCT -1.0 |CHG/ATR nan |B/CHG -1.34 |B/ATR nan |V/LONG nan |V/SHORT 0.4 |V/PREV 1.0 |O 20.5 |H 21.5 |L 20.5 |C 20.8 |V 24 Thousand
2003-01-15|NIU|H/Body 13.00 |T/Body 5.67 |CHG_PCT -0.3 |CHG/ATR nan |B/CHG -0.43 |B/ATR nan |V/LONG nan |V/SHORT 0.4 |V/PREV 0.9 |O 20.7 |H 21.1 |L 20.5 |C 20.7 |V 21 Thousand
2003-01-16|NIU|H/Body 0.63 |T/Body 0.03 |CHG_PCT 0.2 |CHG/ATR nan |B/CHG 7.60 |B/ATR nan |V/LONG nan |V/SHORT 1.5 |V/PREV 2.5 |O 20.4 |H 21.0 |L 20.4 |C 20.8 |V 52 Thousand
2003-01-17|RED|H/Body 4.83 |T/Body 4.17 |CHG_PCT -2.4 |CHG/ATR nan |B/CHG -0.12 |B/ATR nan |V/LONG nan |V/SHORT 0.5 |V/PREV 0.3 |O 20.3 |H 20.6 |L 20.0 |C 20.2 |V 18 Thousand
2003-01-21|RED|H/Body 0.70 |T/Body 3.26 |CHG_PCT -2.6 |CHG/ATR nan |B/CHG -0.81 |B/ATR nan |V/LONG nan |V/SHORT 3.1 |V/PREV 4.8 |O 20.1 |H 20.4 |L 18.3 |C 19.7 |V 85 Thousand
2003-01-22|RED|H/Body 2.00 |T/Body 1.00 |CHG_PCT -2.4 |CHG/ATR nan |B/CHG -0.53 |B/ATR nan |V/LONG nan |V/SHORT 1.1 |V/PREV 0.5 |O 19.5 |H 20.0 |L 19.0 |C 19.2 |V 45 Thousand
2003-01-23|NIU|H/Body 0.34 |T/Body 0.00 |CHG_PCT 3.4 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG 0.1 |V/SHORT 0.4 |V/PREV 0.4 |O 19.2 |H 20.1 |L 19.2 |C 19.9 |V 20 Thousand
2003-01-24|RED|H/Body 0.00 |T/Body 0.24 |CHG_PCT -4.7 |CHG/ATR nan |B/CHG -1.22 |B/ATR nan |V/LONG 0.2 |V/SHORT 0.7 |V/PREV 1.5 |O 20.1 |H 20.1 |L 18.7 |C 19.0 |V 30 Thousand
2003-01-27|RED|H/Body 0.00 |T/Body 2.50 |CHG_PCT 0.2 |CHG/ATR nan |B/CHG 6.67 |B/ATR nan |V/LONG 0.4 |V/SHORT 1.3 |V/PREV 1.7 |O 19.2 |H 19.2 |L 18.5 |C 19.0 |V 50 Thousand
2003-01-28|NIU|H/Body 0.04 |T/Body 0.00 |CHG_PCT 1.5 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.8 |V/PREV 0.7 |O 19.0 |H 19.3 |L 19.0 |C 19.3 |V 36 Thousand
2003-01-29|NIU|H/Body 0.04 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.4 |V/SHORT 1.5 |V/PREV 1.4 |O 19.0 |H 19.3 |L 19.0 |C 19.3 |V 52 Thousand
2003-01-30|NIU|H/Body 0.25 |T/Body 0.00 |CHG_PCT 10.4 |CHG/ATR nan |B/CHG 0.61 |B/ATR nan |V/LONG 1.5 |V/SHORT 4.7 |V/PREV 3.4 |O 20.1 |H 21.6 |L 20.1 |C 21.3 |V 177 Thousand
