2000-03-14|RED|H/Body 0.00 |T/Body 0.05 |CHG_PCT -26.3 |CHG/ATR nan |B/CHG -0.98 |B/ATR nan |V/LONG nan |V/SHORT 1.0 |V/PREV 0.6 |O 148.4 |H 148.4 |L 108.0 |C 110.1 |V 3 Million
2000-03-15|RED|H/Body 0.25 |T/Body 0.29 |CHG_PCT -4.1 |CHG/ATR nan |B/CHG -2.76 |B/ATR nan |V/LONG 2.0 |V/SHORT 0.6 |V/PREV 0.6 |O 118.0 |H 121.1 |L 102.0 |C 105.6 |V 2 Million
2000-03-16|RED|H/Body 0.26 |T/Body 0.10 |CHG_PCT -10.8 |CHG/ATR nan |B/CHG -1.30 |B/ATR nan |V/LONG 1.4 |V/SHORT 0.5 |V/PREV 0.8 |O 109.0 |H 112.8 |L 92.6 |C 94.2 |V 2 Million
2000-03-17|NIU|H/Body 0.90 |T/Body 0.00 |CHG_PCT 6.1 |CHG/ATR nan |B/CHG 1.38 |B/ATR nan |V/LONG 1.1 |V/SHORT 0.4 |V/PREV 0.7 |O 92.0 |H 107.0 |L 92.0 |C 99.9 |V 1 Million
2000-03-20|RED|H/Body 1.03 |T/Body 0.89 |CHG_PCT -0.1 |CHG/ATR nan |B/CHG -51.29 |B/ATR nan |V/LONG 0.7 |V/SHORT 0.3 |V/PREV 0.7 |O 103.4 |H 107.1 |L 96.6 |C 99.8 |V 761 Thousand
2000-03-21|RED|H/Body 0.18 |T/Body 1.54 |CHG_PCT -4.9 |CHG/ATR nan |B/CHG -1.04 |B/ATR nan |V/LONG 1.0 |V/SHORT 0.6 |V/PREV 1.5 |O 100.0 |H 100.9 |L 87.0 |C 94.9 |V 1 Million
2000-03-22|RED|H/Body 41.00 |T/Body 22.29 |CHG_PCT 0.7 |CHG/ATR nan |B/CHG 0.10 |B/ATR nan |V/LONG 0.4 |V/SHORT 0.4 |V/PREV 0.4 |O 95.6 |H 98.5 |L 94.0 |C 95.6 |V 480 Thousand
2000-03-23|NIU|H/Body 2.05 |T/Body 0.07 |CHG_PCT 1.8 |CHG/ATR nan |B/CHG 1.51 |B/ATR nan |V/LONG 0.6 |V/SHORT 0.6 |V/PREV 1.3 |O 94.7 |H 102.5 |L 94.5 |C 97.2 |V 645 Thousand
2000-03-24|RED|H/Body 1.28 |T/Body 0.93 |CHG_PCT -4.2 |CHG/ATR nan |B/CHG -0.84 |B/ATR nan |V/LONG 0.5 |V/SHORT 0.6 |V/PREV 0.7 |O 96.6 |H 101.0 |L 90.0 |C 93.2 |V 482 Thousand
2000-03-27|RED|H/Body 0.51 |T/Body 0.14 |CHG_PCT -6.6 |CHG/ATR nan |B/CHG -0.97 |B/ATR nan |V/LONG 0.8 |V/SHORT 1.2 |V/PREV 1.7 |O 93.0 |H 96.0 |L 86.2 |C 87.1 |V 810 Thousand
2000-03-28|RED|H/Body 0.27 |T/Body 0.45 |CHG_PCT -7.5 |CHG/ATR nan |B/CHG -0.54 |B/ATR nan |V/LONG 0.8 |V/SHORT 1.2 |V/PREV 1.0 |O 84.1 |H 85.0 |L 79.0 |C 80.6 |V 819 Thousand
2000-03-29|RED|H/Body 0.33 |T/Body 0.58 |CHG_PCT -6.6 |CHG/ATR nan |B/CHG -1.06 |B/ATR nan |V/LONG 1.0 |V/SHORT 1.5 |V/PREV 1.2 |O 80.9 |H 82.8 |L 72.0 |C 75.2 |V 978 Thousand
2000-03-30|NIU|H/Body 3.83 |T/Body 1.38 |CHG_PCT -0.6 |CHG/ATR nan |B/CHG -4.11 |B/ATR nan |V/LONG 0.7 |V/SHORT 1.0 |V/PREV 0.8 |O 73.0 |H 81.8 |L 70.5 |C 74.8 |V 754 Thousand
