2000-02-28|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-02-29|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-03-01|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-03-02|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-03-03|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-03-06|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-03-07|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-03-08|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT inf |V/PREV inf |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 500
2000-03-09|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 5.0 |V/PREV 1.0 |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 500
2000-03-10|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 2.5 |V/PREV 1.0 |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 500
2000-03-13|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV 0.0 |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-03-14|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-03-15|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-03-16|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-03-17|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-03-20|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-03-21|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-03-22|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-03-23|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-03-24|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-03-27|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-03-28|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
