2000-03-07|RED|H/Body 0.64 |T/Body 0.64 |CHG_PCT -3.8 |CHG/ATR nan |B/CHG -0.88 |B/ATR nan |V/LONG nan |V/SHORT 0.7 |V/PREV 1.0 |O 26.4 |H 26.9 |L 24.9 |C 25.5 |V 37 Thousand
2000-03-08|NIU|H/Body 0.05 |T/Body 0.79 |CHG_PCT 5.1 |CHG/ATR nan |B/CHG 1.09 |B/ATR nan |V/LONG nan |V/SHORT 0.5 |V/PREV 0.6 |O 25.4 |H 26.9 |L 24.2 |C 26.8 |V 24 Thousand
2000-03-09|RED|H/Body 0.76 |T/Body 0.00 |CHG_PCT -0.9 |CHG/ATR nan |B/CHG -1.00 |B/ATR nan |V/LONG nan |V/SHORT 0.3 |V/PREV 0.6 |O 26.8 |H 27.0 |L 26.6 |C 26.6 |V 15 Thousand
2000-03-10|RED|H/Body 0.03 |T/Body 0.66 |CHG_PCT -7.3 |CHG/ATR nan |B/CHG -0.94 |B/ATR nan |V/LONG nan |V/SHORT 1.8 |V/PREV 3.8 |O 26.4 |H 26.5 |L 23.4 |C 24.6 |V 58 Thousand
2000-03-13|RED|H/Body 0.00 |T/Body 1.14 |CHG_PCT -1.5 |CHG/ATR nan |B/CHG -1.16 |B/ATR nan |V/LONG nan |V/SHORT 1.5 |V/PREV 0.9 |O 24.7 |H 24.7 |L 23.8 |C 24.2 |V 53 Thousand
2000-03-14|RED|H/Body 4.43 |T/Body 4.43 |CHG_PCT -0.8 |CHG/ATR nan |B/CHG -0.37 |B/ATR nan |V/LONG nan |V/SHORT 1.2 |V/PREV 0.9 |O 24.1 |H 24.4 |L 23.8 |C 24.1 |V 46 Thousand
2000-03-15|NIU|H/Body 1.92 |T/Body 0.92 |CHG_PCT 0.3 |CHG/ATR nan |B/CHG 1.86 |B/ATR nan |V/LONG 0.4 |V/SHORT 1.2 |V/PREV 1.1 |O 24.0 |H 24.4 |L 23.9 |C 24.1 |V 48 Thousand
2000-03-16|NIU|H/Body 0.16 |T/Body 0.00 |CHG_PCT 11.4 |CHG/ATR nan |B/CHG 1.14 |B/ATR nan |V/LONG 0.2 |V/SHORT 0.6 |V/PREV 0.5 |O 23.8 |H 27.4 |L 23.8 |C 26.9 |V 25 Thousand
2000-03-17|RED|H/Body 0.16 |T/Body 0.00 |CHG_PCT -6.3 |CHG/ATR nan |B/CHG -0.85 |B/ATR nan |V/LONG 0.5 |V/SHORT 1.1 |V/PREV 1.9 |O 26.6 |H 26.9 |L 25.2 |C 25.2 |V 48 Thousand
2000-03-20|RED|H/Body 0.00 |T/Body 0.88 |CHG_PCT -0.2 |CHG/ATR nan |B/CHG -7.17 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.6 |V/PREV 0.5 |O 25.6 |H 25.6 |L 24.8 |C 25.1 |V 26 Thousand
