2009-09-17|NIU|H/Body 1.05 |T/Body 1.37 |CHG_PCT 2.3 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG nan |V/SHORT 2.6 |V/PREV 2.0 |O 8.2 |H 8.6 |L 7.9 |C 8.3 |V 222 Thousand
2009-09-18|RED|H/Body 0.00 |T/Body 1.32 |CHG_PCT -0.2 |CHG/ATR nan |B/CHG -11.00 |B/ATR nan |V/LONG nan |V/SHORT 0.9 |V/PREV 0.5 |O 8.6 |H 8.6 |L 8.0 |C 8.3 |V 107 Thousand
2009-09-21|RED|H/Body 2.17 |T/Body 5.83 |CHG_PCT -1.6 |CHG/ATR nan |B/CHG -0.46 |B/ATR nan |V/LONG nan |V/SHORT 0.4 |V/PREV 0.5 |O 8.3 |H 8.4 |L 7.8 |C 8.2 |V 53 Thousand
2009-09-22|NIU|H/Body 0.01 |T/Body 3.84 |CHG_PCT 4.1 |CHG/ATR nan |B/CHG 0.32 |B/ATR nan |V/LONG nan |V/SHORT 0.5 |V/PREV 1.2 |O 8.4 |H 8.5 |L 8.0 |C 8.5 |V 61 Thousand
2009-09-23|NIU|H/Body 0.00 |T/Body 4.67 |CHG_PCT 0.6 |CHG/ATR nan |B/CHG 1.18 |B/ATR nan |V/LONG nan |V/SHORT 1.0 |V/PREV 1.8 |O 8.5 |H 8.6 |L 8.2 |C 8.6 |V 111 Thousand
2009-09-24|NIU|H/Body 14.00 |T/Body 18.00 |CHG_PCT 0.2 |CHG/ATR nan |B/CHG 0.50 |B/ATR nan |V/LONG nan |V/SHORT 0.7 |V/PREV 0.7 |O 8.6 |H 8.8 |L 8.4 |C 8.6 |V 80 Thousand
2009-09-25|NIU|H/Body 0.55 |T/Body 2.00 |CHG_PCT 2.8 |CHG/ATR nan |B/CHG 0.46 |B/ATR nan |V/LONG nan |V/SHORT 0.8 |V/PREV 0.8 |O 8.7 |H 8.9 |L 8.5 |C 8.8 |V 66 Thousand
2009-09-28|RED|H/Body 0.00 |T/Body 0.89 |CHG_PCT -2.9 |CHG/ATR nan |B/CHG -1.42 |B/ATR nan |V/LONG nan |V/SHORT 1.1 |V/PREV 1.2 |O 9.0 |H 9.0 |L 8.3 |C 8.6 |V 79 Thousand
2009-09-29|NIU|H/Body 1.27 |T/Body 0.00 |CHG_PCT 0.8 |CHG/ATR nan |B/CHG 1.57 |B/ATR nan |V/LONG nan |V/SHORT 1.1 |V/PREV 1.1 |O 8.6 |H 8.8 |L 8.6 |C 8.7 |V 84 Thousand
2009-09-30|NIU|H/Body 1.33 |T/Body 1.00 |CHG_PCT 4.2 |CHG/ATR nan |B/CHG 0.42 |B/ATR nan |V/LONG nan |V/SHORT 1.2 |V/PREV 1.2 |O 8.9 |H 9.2 |L 8.7 |C 9.0 |V 102 Thousand
