2015-01-22|RED|H/Body 0.09 |T/Body 0.09 |CHG_PCT -4.1 |CHG/ATR nan |B/CHG -1.35 |B/ATR nan |V/LONG nan |V/SHORT 0.5 |V/PREV 1.0 |O 4.2 |H 4.2 |L 3.9 |C 3.9 |V 4 Million
2015-01-23|NIU|H/Body 0.30 |T/Body 1.00 |CHG_PCT 3.3 |CHG/ATR nan |B/CHG 0.77 |B/ATR nan |V/LONG nan |V/SHORT 0.9 |V/PREV 1.2 |O 4.0 |H 4.1 |L 3.9 |C 4.1 |V 5 Million
2015-01-26|NIU|H/Body 0.05 |T/Body 0.31 |CHG_PCT 9.6 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG nan |V/SHORT 1.9 |V/PREV 1.9 |O 4.1 |H 4.5 |L 3.9 |C 4.5 |V 9 Million
2015-01-27|NIU|H/Body 0.59 |T/Body 0.47 |CHG_PCT 2.7 |CHG/ATR nan |B/CHG 1.42 |B/ATR nan |V/LONG nan |V/SHORT 1.5 |V/PREV 0.8 |O 4.4 |H 4.7 |L 4.3 |C 4.6 |V 7 Million
2015-01-28|NIU|H/Body 2.75 |T/Body 2.25 |CHG_PCT -0.2 |CHG/ATR nan |B/CHG -4.00 |B/ATR nan |V/LONG 1.2 |V/SHORT 2.1 |V/PREV 1.6 |O 4.5 |H 4.7 |L 4.4 |C 4.6 |V 12 Million
2015-01-29|NIU|H/Body 0.76 |T/Body 0.52 |CHG_PCT 5.3 |CHG/ATR nan |B/CHG 1.04 |B/ATR nan |V/LONG 1.0 |V/SHORT 1.3 |V/PREV 0.8 |O 4.5 |H 5.0 |L 4.4 |C 4.8 |V 10 Million
2015-01-30|NIU|H/Body 1.27 |T/Body 0.32 |CHG_PCT 6.7 |CHG/ATR nan |B/CHG 0.69 |B/ATR nan |V/LONG 1.9 |V/SHORT 2.2 |V/PREV 1.9 |O 4.9 |H 5.4 |L 4.8 |C 5.1 |V 18 Million
2015-02-02|RED|H/Body 0.38 |T/Body 2.00 |CHG_PCT 1.8 |CHG/ATR nan |B/CHG 0.89 |B/ATR nan |V/LONG 0.9 |V/SHORT 0.8 |V/PREV 0.5 |O 5.3 |H 5.3 |L 5.0 |C 5.2 |V 9 Million
2015-02-03|NIU|H/Body 0.04 |T/Body 0.01 |CHG_PCT 17.7 |CHG/ATR nan |B/CHG 0.83 |B/ATR nan |V/LONG 1.7 |V/SHORT 1.5 |V/PREV 2.0 |O 5.4 |H 6.2 |L 5.4 |C 6.1 |V 17 Million
2015-02-04|NIU|H/Body 0.27 |T/Body 0.57 |CHG_PCT 3.1 |CHG/ATR nan |B/CHG 1.95 |B/ATR nan |V/LONG 1.0 |V/SHORT 0.8 |V/PREV 0.6 |O 6.0 |H 6.4 |L 5.7 |C 6.3 |V 11 Million
2015-02-05|NIU|H/Body 0.69 |T/Body 0.00 |CHG_PCT 6.0 |CHG/ATR nan |B/CHG 0.84 |B/ATR nan |V/LONG 1.0 |V/SHORT 0.8 |V/PREV 1.0 |O 6.4 |H 6.9 |L 6.4 |C 6.7 |V 11 Million
2015-02-06|RED|H/Body 0.38 |T/Body 0.09 |CHG_PCT -8.4 |CHG/ATR nan |B/CHG -1.04 |B/ATR nan |V/LONG 1.3 |V/SHORT 1.0 |V/PREV 1.3 |O 6.7 |H 6.9 |L 6.1 |C 6.1 |V 13 Million
2015-02-09|NIU|H/Body 0.15 |T/Body 0.05 |CHG_PCT 6.8 |CHG/ATR nan |B/CHG 0.98 |B/ATR nan |V/LONG 0.8 |V/SHORT 0.7 |V/PREV 0.6 |O 6.2 |H 6.6 |L 6.1 |C 6.6 |V 8 Million
2015-02-10|RED|H/Body 0.07 |T/Body 0.05 |CHG_PCT -6.4 |CHG/ATR nan |B/CHG -1.00 |B/ATR nan |V/LONG 0.6 |V/SHORT 0.6 |V/PREV 0.8 |O 6.6 |H 6.6 |L 6.1 |C 6.1 |V 7 Million
2015-02-11|NIU|H/Body 0.77 |T/Body 2.91 |CHG_PCT 1.5 |CHG/ATR nan |B/CHG 1.22 |B/ATR nan |V/LONG 0.5 |V/SHORT 0.5 |V/PREV 0.8 |O 6.1 |H 6.3 |L 5.8 |C 6.2 |V 5 Million
2015-02-12|NIU|H/Body 9.67 |T/Body 5.33 |CHG_PCT 2.1 |CHG/ATR nan |B/CHG 0.23 |B/ATR nan |V/LONG 0.6 |V/SHORT 0.7 |V/PREV 1.1 |O 6.3 |H 6.7 |L 6.2 |C 6.4 |V 6 Million
