2002-10-21|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 6.5 |H 6.5 |L 6.5 |C 6.5 |V 0
2002-10-22|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 6.5 |H 6.5 |L 6.5 |C 6.5 |V 0
2002-10-23|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 6.5 |H 6.5 |L 6.5 |C 6.5 |V 0
2002-10-24|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.5 |H 6.5 |L 6.5 |C 6.5 |V 0
2002-10-25|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.5 |H 6.5 |L 6.5 |C 6.5 |V 0
2002-10-28|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.5 |H 6.5 |L 6.5 |C 6.5 |V 0
2002-10-29|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT -38.5 |CHG/ATR nan |B/CHG -1.40 |B/ATR nan |V/LONG nan |V/SHORT inf |V/PREV inf |O 0.5 |H 4.0 |L 0.5 |C 4.0 |V 400
2002-10-30|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV 0.0 |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-10-31|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-11-01|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-11-04|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-11-05|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-11-06|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-11-07|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-11-08|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-11-11|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-11-12|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-11-13|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.9 |V/SHORT inf |V/PREV inf |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 100
2002-11-14|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV 0.0 |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-11-15|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-11-18|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -25.0 |CHG/ATR nan |B/CHG -0.01 |B/ATR nan |V/LONG 5.1 |V/SHORT 25.0 |V/PREV inf |O 3.0 |H 3.0 |L 3.0 |C 3.0 |V 500
2002-11-19|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV 0.0 |O 3.0 |H 3.0 |L 3.0 |C 3.0 |V 0
2002-11-20|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 3.0 |H 3.0 |L 3.0 |C 3.0 |V 0
2002-11-21|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 3.0 |H 3.0 |L 3.0 |C 3.0 |V 0
2002-11-22|RED|H/Body 0.00 |T/Body 1.00 |CHG_PCT 16.7 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG 5.9 |V/SHORT 6.0 |V/PREV inf |O 4.0 |H 4.0 |L 3.0 |C 3.5 |V 600
2002-11-25|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 5.8 |V/SHORT 3.2 |V/PREV 1.2 |O 4.0 |H 4.0 |L 3.5 |C 3.5 |V 700
2002-11-26|RED|H/Body 0.00 |T/Body 50.00 |CHG_PCT 14.3 |CHG/ATR nan |B/CHG 0.02 |B/ATR nan |V/LONG 2.8 |V/SHORT 1.5 |V/PREV 0.6 |O 4.0 |H 4.0 |L 3.5 |C 4.0 |V 400
2002-11-27|RED|H/Body 0.00 |T/Body 50.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 3.2 |V/SHORT 1.5 |V/PREV 1.2 |O 4.0 |H 4.0 |L 3.5 |C 4.0 |V 500
2002-11-29|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV 0.0 |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-12-02|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
